TransactionID,CustomerID,ProductID,TimeID,StoreID,Revenue,UnitsSold,Discount
1,1698,2042,710,109,9792.54,10,0.1
2,1253,2018,572,110,6154.93,4,0.19
3,1305,2050,296,107,3416.49,8,0.06
4,1358,2036,281,110,501.39,2,0.11
5,1557,2025,405,112,814.75,3,0.06
6,1295,2046,81,112,8885.14,8,0.13
7,1491,2014,207,118,6883.26,5,0.19
8,1279,2009,112,120,1841.19,10,0.05
9,1052,2043,544,108,2755.84,4,0.01
10,1424,2022,484,104,2581.38,3,0.0
11,1564,2011,417,116,2817.62,8,0.13
12,1295,2021,293,102,1096.2,2,0.13
13,1238,2035,39,106,1110.06,7,0.18
14,1181,2003,407,116,243.0,3,0.19
15,1297,2003,10,110,880.0,10,0.12
16,1344,2019,466,118,10168.01,9,0.1
17,1138,2033,480,109,5172.79,4,0.16
18,1339,2011,470,109,1214.49,3,0.0
19,1346,2019,582,107,3314.02,3,0.12
20,1655,2026,438,117,874.24,6,0.02
21,1686,2007,190,105,5785.74,8,0.06
22,1255,2001,268,113,1820.0,4,0.09
23,1274,2022,310,119,8604.6,10,0.0
24,1670,2024,710,108,1333.97,1,0.13
25,1477,2020,164,113,9606.69,9,0.18
26,1319,2045,121,110,6211.34,6,0.12
27,1225,2009,490,105,1317.91,8,0.15
28,1621,2024,426,118,10426.44,8,0.15
29,1681,2014,254,120,3025.23,2,0.11
30,1541,2046,371,103,12510.68,10,0.02
31,1561,2033,208,119,13440.01,9,0.03
32,1336,2034,453,104,3997.45,4,0.14
33,1501,2006,523,115,1448.02,1,0.09
34,1526,2027,468,119,1456.29,1,0.11
35,1689,2020,23,113,5467.22,5,0.16
36,1224,2038,75,102,6788.56,7,0.07
37,1066,2035,62,103,1531.65,8,0.01
38,1419,2012,139,114,8021.81,6,0.2
39,1392,2029,387,113,163.73,2,0.14
40,1678,2035,137,112,371.31,2,0.04
41,1551,2026,542,105,493.62,4,0.17
42,1024,2020,475,118,8109.72,7,0.11
43,1236,2016,472,112,3395.36,3,0.06
44,1116,2003,677,114,850.0,10,0.15
45,1017,2016,212,103,2119.09,2,0.12
46,1458,2039,689,102,4901.1,4,0.15
47,1412,2029,240,118,323.65,4,0.15
48,1058,2009,516,110,651.2,4,0.16
49,1590,2021,592,120,3591.0,6,0.05
50,1147,2043,534,108,4579.15,7,0.06
51,1063,2036,606,106,1754.87,7,0.11
52,1049,2023,659,113,2793.07,9,0.06
53,1427,2027,153,110,10995.8,7,0.04
54,1551,2031,247,108,5042.91,5,0.17
55,1148,2030,60,118,6733.24,7,0.19
56,1571,2034,138,113,4415.79,4,0.05
57,1339,2042,81,115,6397.79,6,0.02
58,1196,2004,275,113,9743.62,10,0.12
59,1075,2013,602,118,2445.08,4,0.1
60,1341,2020,16,107,4217.57,4,0.19
61,1121,2048,491,108,5690.62,10,0.14
62,1407,2016,566,111,5538.54,5,0.08
63,1547,2042,368,110,5059.48,5,0.07
64,1510,2030,101,116,5842.6,6,0.18
65,1380,2021,424,102,5229.0,10,0.17
66,1150,2002,268,118,2640.0,10,0.12
67,1428,2019,157,107,7155.27,6,0.05
68,1584,2016,512,118,6862.97,6,0.05
69,1501,2047,658,116,9052.12,8,0.03
70,1361,2011,144,118,3109.09,8,0.04
71,1556,2042,61,117,903.09,1,0.17
72,1077,2043,50,101,4725.3,7,0.03
73,1646,2015,70,105,282.32,1,0.04
74,1467,2024,62,120,12573.06,10,0.18
75,1676,2032,17,101,13632.94,9,0.11
76,1013,2002,543,109,2160.0,9,0.2
77,1018,2033,715,114,4526.19,3,0.02
78,1099,2034,153,108,4090.42,4,0.12
79,1259,2023,274,113,614.08,2,0.07
80,1416,2030,579,108,4465.08,4,0.06
81,1083,2042,666,102,2002.03,2,0.08
82,1387,2036,488,102,242.24,1,0.14
83,1085,2032,445,111,13615.92,10,0.2
84,1098,2034,44,108,3811.52,4,0.18
85,1581,2031,278,102,2090.08,2,0.14
86,1288,2035,578,102,469.94,3,0.19
87,1323,2002,213,119,765.0,3,0.15
88,1408,2005,307,106,9899.66,10,0.05
89,1399,2044,554,111,9541.84,7,0.15
90,1144,2045,81,117,6987.76,6,0.01
91,1448,2015,78,111,2499.68,10,0.15
92,1610,2026,335,101,624.46,5,0.16
93,1462,2032,234,112,12407.51,9,0.19
94,1443,2012,697,119,11464.5,7,0.02
95,1634,2019,253,103,2385.09,2,0.05
96,1390,2046,650,105,8400.03,7,0.06
97,1110,2006,6,110,11838.75,8,0.07
98,1277,2007,136,103,2100.41,3,0.09
99,1571,2036,525,114,557.73,2,0.01
100,1363,2036,96,120,2366.11,10,0.16
101,1395,2001,299,114,2940.0,7,0.16
102,1573,2016,586,117,3106.4,3,0.14
103,1174,2009,276,110,872.14,5,0.1
104,1065,2011,446,109,2663.78,7,0.06
105,1079,2024,258,108,10794.43,8,0.12
106,1201,2030,110,105,5937.6,5,0.0
107,1406,2022,636,113,4698.11,6,0.09
108,1441,2042,609,105,5113.88,5,0.06
109,1206,2031,322,106,6889.96,7,0.19
110,1299,2048,712,116,5558.28,10,0.16
111,1334,2025,288,113,1698.85,6,0.02
112,1578,2013,607,118,1752.31,3,0.14
113,1564,2002,473,107,2016.0,8,0.16
114,1071,2027,690,116,4270.69,3,0.13
115,1248,2017,675,105,4165.16,7,0.16
116,1076,2029,613,116,875.75,10,0.08
117,1519,2045,429,118,988.17,1,0.16
118,1369,2045,550,120,2305.72,2,0.02
119,1255,2043,681,112,1816.35,3,0.13
120,1046,2037,661,113,5529.56,6,0.19
121,1441,2007,11,104,3693.02,5,0.04
122,1532,2036,595,119,1025.32,4,0.09
123,1401,2030,696,119,10367.05,9,0.03
124,1026,2031,108,110,6975.02,7,0.18
125,1088,2008,146,112,3842.81,5,0.07
126,1212,2034,495,112,9110.47,8,0.02
127,1464,2021,69,110,529.2,1,0.16
128,1118,2002,352,104,729.0,3,0.19
129,1250,2034,179,118,3242.12,3,0.07
130,1437,2030,238,113,3420.06,3,0.04
131,1674,2028,406,101,16335.55,10,0.18
132,1461,2038,440,113,896.8,1,0.14
133,1211,2018,721,103,18616.77,10,0.02
134,1550,2012,375,111,6083.2,4,0.09
135,1269,2043,502,117,3674.46,6,0.12
136,1626,2026,602,104,829.63,6,0.07
137,1469,2040,177,110,15766.17,10,0.12
138,1689,2009,321,104,728.73,4,0.06
139,1188,2024,711,105,12695.72,9,0.08
140,1611,2009,589,113,1302.4,7,0.04
141,1651,2035,711,106,1688.29,9,0.03
142,1296,2009,192,111,1364.42,8,0.12
143,1368,2001,497,105,1680.0,4,0.16
144,1576,2033,669,116,9267.91,7,0.14
145,1426,2046,455,116,3753.2,3,0.02
146,1032,2049,226,110,977.12,1,0.05
147,1551,2019,173,115,10670.13,10,0.15
148,1508,2036,524,104,2760.46,10,0.02
149,1557,2024,556,102,10917.1,8,0.11
150,1436,2007,670,108,3192.93,5,0.17
151,1034,2029,270,112,173.25,2,0.09
152,1121,2050,243,107,3907.15,10,0.14
153,1625,2041,439,106,3558.74,10,0.03
154,1212,2014,61,119,9075.7,6,0.11
155,1612,2035,173,111,908.93,5,0.06
156,1274,2033,696,104,3741.03,3,0.19
157,1422,2004,284,105,3155.61,3,0.05
158,1330,2016,693,113,9343.27,8,0.03
159,1648,2018,643,114,12100.9,7,0.09
160,1649,2050,96,113,3475.55,9,0.15
161,1378,2030,500,111,11875.2,10,0.0
162,1096,2047,470,112,1959.74,2,0.16
163,1408,2014,440,107,12916.73,8,0.05
164,1291,2022,561,119,2297.43,3,0.11
165,1497,2022,699,102,843.25,1,0.02
166,1471,2002,128,106,2184.0,8,0.09
167,1439,2013,706,105,3294.07,5,0.03
168,1281,2006,671,112,7797.03,5,0.02
169,1681,2042,170,102,6626.29,7,0.13
170,1240,2028,672,103,3984.28,2,0.0
171,1489,2005,136,119,3751.45,4,0.1
172,1456,2001,9,111,800.0,2,0.2
173,1433,2045,136,116,2235.14,2,0.05
174,1092,2047,105,104,6509.13,6,0.07
175,1307,2009,392,105,575.62,3,0.01
176,1577,2001,625,106,3720.0,8,0.07
177,1219,2041,156,114,3155.17,10,0.14
178,1223,2006,103,105,2800.56,2,0.12
179,1394,2023,440,111,940.93,3,0.05
180,1661,2006,255,118,14002.82,10,0.12
181,1623,2019,708,101,6025.49,5,0.04
182,1622,2033,194,113,6696.91,5,0.13
183,1246,2032,396,104,6127.16,4,0.1
184,1609,2005,541,101,5064.46,6,0.19
185,1136,2025,583,114,1542.83,6,0.11
186,1177,2049,483,103,905.12,1,0.12
187,1015,2017,221,102,573.77,1,0.19
188,1408,2033,294,117,9914.51,7,0.08
189,1412,2006,656,118,12602.54,9,0.12
190,1285,2006,318,103,11743.28,9,0.18
191,1160,2035,335,113,1682.49,10,0.13
192,1666,2044,659,103,6895.78,5,0.14
193,1245,2004,251,103,7595.6,7,0.02
194,1627,2039,57,110,4238.01,3,0.02
195,1141,2045,12,106,7623.01,8,0.19
196,1536,2034,266,106,6763.13,6,0.03
197,1276,2047,121,101,5879.21,6,0.16
198,1279,2034,66,109,10109.83,10,0.13
199,1509,2030,524,112,1068.77,1,0.1
200,1581,2011,377,106,1720.53,5,0.15
201,1588,2044,119,108,14433.03,9,0.0
202,1013,2016,48,116,6646.25,6,0.08
203,1154,2012,37,118,11230.53,7,0.04
204,1255,2027,328,109,2912.58,2,0.11
205,1123,2033,690,102,4433.82,3,0.04
